employee_id,store_id,firstname,lastname,primary_address,primary_address2,city,state,zipcode,country,gender,date_of_birth,date_joined,last_updated
Eid29,sc15,Wayne,Wong,3605 El Camino Real,,Santa Clara,CA,99306,USA,Male,1998-04-13,2019-04-28,2021-12-22
Eid30,sc15,Wendy,Roberts,3606 El Camino Real,,Santa Clara,CA,99306,USA,Female,1999-10-30,2020-06-29,2020-01-25
Eid31,sc16,Jeff,Li,3055 Olin Avenue,,San Jose,CA,95128,USA,Male,1995-01-12,2019-03-30,2014-09-19
Eid32,sc16,Hope,Donald,3056 Olin Avenue,,San Jose,CA,95128,USA,Female,1997-08-22,2021-03-22,2017-02-10
Eid33,sc17,Jayden,Singh,2030 Wyatt Drive,#1025,Santa Clara,CA,95054,USA,Male,1998-03-17,2021-04-28,2019-05-17
Eid34,sc17,Susy,Wright,2031 Wyatt Drive,#110,Santa Clara,CA,95054,USA,Female,1999-09-19,2021-06-21,2021-03-24
Eid35,sc18,Jim,Thome,3555 Monroe Street,#65,Santa Clara,CA,95051,USA,Male,1994-06-10,2019-03-22,2022-01-26
Eid36,sc18,Jennifer,Chen,3556 Monroe Street,,Santa Clara,CA,95051,USA,Female,1993-07-11,2021-01-23,2007-10-01
Eid37,sc19,Tony,Falcon,1751 North First Street,#1590,San Jose,CA,95116,USA,Male,1990-08-29,2019-06-21,2020-03-19
Eid38,sc19,Tiffany,Nguyen,1752 North First Street,#2940,San Jose,CA,95116,USA,Female,1992-07-22,2020-09-22,2020-03-19
Eid39,sc20,Manny,Moreno,3551 Homestead Road,,Santa Clara,CA,95054,USA,Male,1993-05-10,2021-09-28,2021-11-30
Eid40,sc20,Elizabeth,Garcia,3552 Homestead Road,,Santa Clara,CA,95054,USA,Female,1994-05-11,2019-06-20,2020-04-28
Eid41,sc21,Ronald,Jackson,1396 Lincoln Avenue,,San Jose,CA,95127,USA,Male,1990-02-22,2021-03-20,2018-08-25
Eid42,sc21,Emily,Richardson,1397 Lincoln Avenue,,San Jose,CA,95127,USA,Female,1995-11-17,2020-07-28,2016-09-09
Eid43,rmsc,Samantha,Scott,4837 Willow Road,#1,San Jose,CA,95128,USA,Female,1986-02-22,1986-03-13,2018-04-20
